name,description
Nox Swordstress Armor,"Armor worn by swordstresses of the Eternal City. These women are the personal guards of the nightmaidens, and wear silk capes. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Omen Armor,Malformed armor resembling an Omen with its horns cut off.
Official's Attire,"Grubby blue robe worn by magisterial officials to carry out their grim tasks. Surveillance, executions, gruesome rituals... The darkest duties drive the wheels of mankind."
Page Garb,Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way.
Perfumer's Traveling Garb,Garb of a traveling perfumer of no renown. 
Page Garb (altered),Lighter version of the Page Garb.
Perfumer Robe,Robe of an Erdtree Capital perfumer.
Perfumer's Traveling Garb (altered),Lighter version of the Perfumer's Traveling Garb.
Perfumer Robe (altered),Lighter version of the Perfurmer's Robe.
Omenkiller Robe,"Robe worn by the Omenkillers, butchers of twisted conscience. "
Old Aristocrat Gown,"Gown of soft cloth adorned with fine gold embroidery. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life."
Preceptor's Long Gown (altered),Lighter version of the Preceptor's Long Gown.
Preceptor's Long Gown,"A long, bright blue gown with the movements of the stars drawn upon it. Worn by the magic preceptors who served the Carian royals. Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain aware of. Even if their fate has been long severed from the stars."
Prophet Robe (altered),Lighter version of the Prophet Robe.
Queen's Robe,"Robe indicating the highest order of sorcerer. Worn by Rennala, Queen of the Full Moon. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all. "
Prophet Robe,"Robe of exiled prophets who foresaw that their faith would end in flames — and were persecuted and driven from their homes as a result. Its fabric scrapes against their skin like a file, and the rickety cart wheel around the neck warns passers-by not to lend an ear to their meandering sermons."
Prisoner Clothing,"Tattered clothing. Worn by a prisoner convicted of an appalling crime. Never once washed, every fiber is filthy."
Ragged Armor,Armor pieced together from scavenged metal.
Ragged Armor (altered),Lighter version of the Ragged Armor.
Radahn's Lion Armor (altered),Lighter version of the Radahn's Lion Armor.
Radahn's Lion Armor,Armor depicting the golden lion. Worn by General Radahn.
Raging Wolf Armor (altered),"Armor worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold."
Raya Lucarian Robe,"Robe worn by Raya Lucaria's magic scholars. Those who dedicate themselves to the study of glintstones formed from starry amber receive this modest yet elegant deep blue garb along with their vows of virtue and austerity. But with extended life, one is apt to forget old vows."
Raging Wolf Armor,"Armor worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. According to the old legends, wolves are the shadows of the Empyrean. Vargram aspired to such a state himself."
Redmane Surcoat,Armor worn by soldiers who fought by General Radahn's side.
Ronin's Armor,Armor of the man who calls himself Shabriri. Highly functional and heavily worn.
Rotten Gravekeeper Cloak,"Thick, bristly cloak eaten through by scarlet rot. The symbol of an underground gravekeeper's station."
Redmane Knight Armor (altered),"Lighter version of the Redmane Knight Armor. The armor is not as sturdy as the original, but it still provides a decent amount of protection."
Ronin's Armor (altered),"Lighter version of the Ronin's Armor. The armor is not as sturdy as the original, but it still provides a decent amount of protection."
Redmane Knight Armor,Armor worn by knights who fought by General Radahn's side.
Raptor's Black Feathers,Robe crafted with the black feathers of a bird of prey. Worn by the assassin Ravenmount. 
Royal Knight Armor,"Silver armor of Loretta, a knight who served Miquella's Haligtree. Loretta, once a royal Carian knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation."
Royal Knight Armor (altered),"Lighter version of the Royal Knight Armor. The armor is not as sturdy as the original, but it still provides a decent amount of protection."
Rotten Gravekeeper Cloak (altered),Lighter version of the Rotten Gravekeeper Cloak.
Royal Remains Armor,Armory graces with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing.
Scaled Armor,"Armor worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it high effective against non-physical attacks."
Sanguine Noble Robe,Robe of dyed black cloth featuring gold embroidery. Worn by the nobles who serve the Lord of Blood. The grand metallic pattern on the shoulder is a signifier of the noble rank they intend to claim upon the advent of the new dynasty they are working to install.
Ruler's Robe,Luxurious robe worn by lords in a smaller nation. Its fine blue mantle serves to prove its wearer's status.
Scaled Armor (altered),Lighter version of the Scaled Armor
Sage Robe,Thick burgundy robe. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.
Scale Armor,"Armor reinforced with small metal scales. The cape covering the shoulders is made with treated rock lizard skin, and provides ample protection against fire."
Traveling Maiden Robe (altered),Lighter version of the Traveling Maiden Robe
Snow Witch Robe (altered),Lighter version of the Snow Witch Robe
Scarlet Tabard,Padded cloth armor with the telltale stains of the scarlet rot. Worn by foot soldiers in General Radahn's army
Shaman Furs,Raiment fashioned from a bristly pelt. Worn by ancestral follower shamans.
Traveling Maiden Robe,"Robe worn by traveling maidens. Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide."
Snow Witch Robe,"Witch's robe in the color of snow. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor."
Tree Sentinel Armor,Golden armor of the heavy cavalry Tree Sentinels who serve the Erdtree.
Spellblade's Traveling Attire (altered),Lighter version of the Spellblade's Traveling Attire
Traveler's Clothes,Light yet sturdy clothes.
Spellblade's Traveling Attire,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills."
Tree Sentinel Armor (altered),Lighter version of the Tree Sentinel Armor
Twinned Armor (altered),Lighter version of the Twinned Armor
Vagabond Knight Armor (altered),Lighter version of the Vagabond Knight Armor
Vagabond Knight Armor,Chest piece of a knight banished from their motherland.  Dirty and battered after enduring a lengthy vagabond journey.
Veteran's Armor,"Old armor that has seen many battles. Worn by Niall, the veteran general of Sol. Niall was a lone survivor who commanded spirits to defend his long-passed master. This aging general could not die, nor did he have anywhere to fade away. "
Twinned Armor,Armor depicting entwined twins of gold and silver. 
Veteran's Armor (altered),Lighter version of the Veteran's Armor
Tree Surcoat,"Blue surcoat draped over chainmail. The tree insignia emblazoned on the front depicts the Erdtree, and is a design beloved throughout the Lands Between."
Upper-class Robe,"Embroidered, bright green robe worn by noble children. Donning such a robe is traditionally the child's first show of burgeoning independence. "
Tree-and-beast Surcoat,"Armor worn by soldiers loyal to Godrick the Grafted. The surcoat depicts the distant Erdtree and the beast regent, an emblem of the golden lineage. Both are symbols of glory now past."
Vulgar Militia Armor,"Armor worn by lean, mean, and filthy militiamen."
White Reed Armor,"Armor of the White Reeds, fashioned from banded iron plates. Worn by the Inabam head disciples of the great swordsman Okina. "
War Surgeon Gown,"""Bloodstained white gown of the war surgeons who were effectively mercy killers. Of the surgeons that were abducted by the Lord of Blood none were able to tame the accursed blood. None but Varré, that is; though he was an exception."""
War Surgeon Gown (altered),Lighter version of the War Surgeon Gown.
Azur's Manchettes,"Manchettes corroded by blue-green glintstones. Worn by Azur, primeval current sorcerer."
Battlemage Manchettes,"Manchettes worn by scholars of the Raya Lucaria Academy, tattered from being worn on the battlefield."
Astrologer Gloves,"Gloves fashioned from fine, supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate."
Bandit Manchettes,Manchettes made by simple wrapping dirty cloth around the arms. Worn by bandits.
Banished Knight Gauntlets,"Thick, full set of armor covering the entire body. These gauntlets were worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights."
Zamor Armor,"Armor worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial."
Alberich's Bracers,Mad Tongue Alberich's bracers.
Beast Champion Gauntlets,"Silver gauntlets engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire."
Black Knife Gauntlets,"Gauntlets used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself. "
Blackflame Monk Gauntlets,Black iron gauntlets featuring a flame motif. Attire of the Blackflame Monks.
Blaidd's Gauntlets,Well-worn black gauntlets of the man-wolf Blaidd.
Brave's Bracer,Gauntlets wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.
Briar Gauntlets,Battered iron gauntlets from a foreign land. Worn by Elemer of the Briar. 
Bull-goat Gauntlets,"Great Horned Tragoth's gauntlets. Covers its wearer with a pair of giant horns, providing staunch poise. "
Bloodsoaked Manchettes,Manchettes formed from tightly-wound bandages soaked through with blood. Any protection is welcome for the festering arms beneath.
Bloodhound Knight Gauntlets,Metal gauntlets of the Bloodhound Knights. 
Blue Silver Bracelets,Bracelets crafted with blue silver. Worn by the wolf-riding Albinauric archers.
Carian Knight Gauntlets,"Gauntlets of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen,  were heroes of the highest honors, but fell into disarray with the decline of the royal family."
Chain Gauntlets,"Gauntlets made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, they offer dependable protection."
Cuckoo Knight Gauntlets,Gauntlets worn by Raya Lucaria Academy knights. Time has yet to dull their luster.
Confessor Gloves,"Black leather gloves of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies."
